order_no,line_no,customer_id,product_sku,qty,unit_price,currency,order_date,promo_code
O-5001,1,C001,SKU-1001,2,14.00,USD,2026-09-01,
O-5001,2,C001,SKU-1003,1,9.00,USD,2026-09-01,
O-5002,1,C003,SKU-1008,1,45.00,EUR,2026-09-01,SUMMER10
O-5003,1,C002,SKU-1002,3,8.50,USD,2026-09-02,
O-5004,1,C999,SKU-1004,1,12.00,GBP,2026-09-02,
O-5005,1,C005,SKU-1007,0,22.00,EUR,2026-09-02,
O-5006,1,C006,SKU-9999,2,10.00,USD,2026-09-02,
O-5007,1,C007,SKU-1005,1,-15.00,USD,2026-09-03,
O-5008,1,C008,SKU-1006,4,18.00,GBP,2026-09-03,FALL15
O-5009,1,C009,SKU-1010,2,13.50,EUR,2026-09-03,
O-5010,1,C010,SKU-1009,1,15.00,USD,2026-09-03,
